URL,Institution,Conference,Goals,Assists,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Shutouts,G Wins,G Loss,DSaves,Corners,PK,PK Att
http://stats.ncaa.org/team/189/14082,Drake,MVC,20,16,209,167,,11,,,,1755:26:00,20,98,6,,,1,77,2,3
http://stats.ncaa.org/team/191/14082,Drexel,CAA,20,10,281,210,,13,,,,1880:36:00,19,95,7,,,,96,0,0
http://stats.ncaa.org/team/193/14082,Duke,ACC,41,44,297,170,,8,,,,2020:00:00,18,68,11,,,,130,3,3
http://stats.ncaa.org/team/194/14082,Duquesne,Atlantic 10,15,13,202,121,,7,,,,1600:42:00,22,76,6,,,,69,1,3
http://stats.ncaa.org/team/196/14082,East Carolina,AAC,31,27,274,154,2,11,,,,1796:02:00,23,90,6,,,,87,1,2
http://stats.ncaa.org/team/201/14082,Eastern Ill.,OVC,18,19,195,180,,18,,,,1923:56:00,24,94,8,,,,60,0,1
http://stats.ncaa.org/team/202/14082,Eastern Ky.,OVC,27,19,241,196,2,10,,,,1911:41:00,30,105,6,,,,85,0,1
http://stats.ncaa.org/team/204/14082,Eastern Mich.,MAC,27,27,330,226,,11,,,,1907:21:00,32,113,6,,,,120,2,4
http://stats.ncaa.org/team/207/14082,Eastern Wash.,Big Sky,24,15,295,271,2,14,,,,1790:28:00,20,82,7,,,,112,1,1
http://stats.ncaa.org/team/1068/14082,Elon,CAA,17,14,214,143,,17,,,,1620:07:00,30,75,4,,,,65,1,2
http://stats.ncaa.org/team/198/14082,ETSU,SoCon,29,21,214,137,,9,,,,1724:39:00,32,110,4,,,,59,1,2
http://stats.ncaa.org/team/219/14082,Evansville,MVC,13,10,169,166,,12,,,,1785:34:00,32,126,5,,,,76,1,1
http://stats.ncaa.org/team/220/14082,Fairfield,MAAC,30,21,310,126,,4,,,,1660:26:00,27,72,4,,,1,90,2,3
http://stats.ncaa.org/team/222/14082,Fairleigh Dickinson,NEC,23,23,238,210,1,17,,,,1799:41:00,25,86,4,,,,80,1,1
http://stats.ncaa.org/team/28755/14082,FGCU,ASUN,46,52,322,161,1,9,,,,1750:00:00,11,67,10,,,,110,2,3
http://stats.ncaa.org/team/231/14082,FIU,C-USA,12,7,151,146,1,9,,,,1640:00:00,63,109,,,,,30,1,1
http://stats.ncaa.org/team/229/14082,Fla. Atlantic,C-USA,31,26,274,187,,6,,,,1916:52:00,26,83,7,,,,132,2,3
http://stats.ncaa.org/team/235/14082,Florida,SEC,23,27,238,150,3,9,,,,1982:45:00,22,84,7,,,,103,1,1
http://stats.ncaa.org/team/234/14082,Florida St.,ACC,52,48,456,260,,11,,,,2496:01:00,13,50,16,,,,162,3,4
http://stats.ncaa.org/team/236/14082,Fordham,Atlantic 10,19,15,204,147,,7,,,,1763:27:00,16,62,8,,,1,79,1,1
http://stats.ncaa.org/team/96/14082,Fresno St.,Mountain West,18,13,197,220,,13,,,,1880:00:00,25,100,5,,,,101,3,5
http://stats.ncaa.org/team/244/14082,Furman,SoCon,32,29,307,182,,9,,,,1710:00:00,15,73,7,,,,100,1,1
http://stats.ncaa.org/team/253/14082,Ga. Southern,Sun Belt,16,15,196,131,,5,,,,1545:11:00,28,90,4,,,5,64,0,0
http://stats.ncaa.org/team/1092/14082,Gardner-Webb,Big South,39,34,323,176,,9,,,,1962:40:00,23,91,4,,,,106,4,5
http://stats.ncaa.org/team/248/14082,George Mason,Atlantic 10,36,34,226,165,,7,,,,1810:09:00,28,75,7,,,1,104,3,3
http://stats.ncaa.org/team/249/14082,George Washington,Atlantic 10,27,20,292,152,,5,,,,1749:11:00,26,101,6,,,,75,0,0
http://stats.ncaa.org/team/251/14082,Georgetown,Big East,53,46,410,199,,2,,,,2344:51:00,10,93,15,,,,188,3,5
