Season,Team,jersey,Full Name,Roster Name,First Name,Last Name,Year,Position,Jersey Number,Games Played,Games Started,Goals,Assists,Points,Shots,Shots on Goal,Ground Balls,Turnovers,Caused Turnovers,Faceoffs Won,Faceoffs Taken,NCAA id
2025,Binghamton,18,CJ Mangio,CJ Mangio,CJ,Mangio,So,M,18,10,0,0,0,0,1,0,15,4,0,46,107,8775914
2025,Binghamton,17,Jack Mellen,Jack Mellen,Jack,Mellen,So,M,17,10,3,3,0,3,23,11,5,8,0,0,0,8768935
2025,Binghamton,11,Brady Sharkey,Brady Sharkey,Brady,Sharkey,So,M,11,10,0,2,2,4,6,4,7,2,3,0,0,8761502
2025,Binghamton,33,Anthony Bilello,Anthony Bilello,Anthony,Bilello,Jr,D,33,10,9,0,0,0,0,0,14,3,9,0,0,8761262
2025,Binghamton,5,Eoin MacKay,Eoin MacKay,Eoin,MacKay,Jr,D,5,10,0,0,0,0,2,1,6,1,3,0,0,8762782
2025,Binghamton,7,Will Feldmann,Will Feldmann,Will,Feldmann,Jr,M,7,10,9,0,6,6,22,7,7,12,0,0,0,8766853
2025,Binghamton,2,Gage Adams,Gage Adams,Gage,Adams,Sr,ATT,2,10,10,13,12,25,52,31,13,10,3,0,0,8760586
2025,Binghamton,15,Connor Winters,Connor Winters,Connor,Winters,Sr,GK,15,10,10,0,0,0,0,0,26,13,5,0,0,8762277
2025,Binghamton,25,Thomas Kelly,Thomas Kelly,Thomas,Kelly,Sr,M,25,10,1,2,1,3,11,5,3,5,0,0,0,8767328
2025,Binghamton,29,Dan Garone,Dan Garone,Dan,Garone,Sr,ATT,29,10,10,11,3,14,24,17,12,11,2,0,0,8771304
2025,Binghamton,6,Liam Ferris,Liam Ferris,Liam,Ferris,Sr,ATT,6,10,10,23,9,32,112,66,22,21,5,0,0,9093456
2025,Binghamton,22,Tyler Martini,Tyler Martini,Tyler,Martini,Jr,M,22,9,0,3,0,3,6,4,2,0,1,0,0,8773326
2025,Binghamton,4,Paolo Capucciati,Paolo Capucciati,Paolo,Capucciati,Sr,LSM,4,9,0,2,0,2,3,3,4,1,2,0,0,8774836
2025,Binghamton,44,Christian Hanko,Christian Hanko,Christian,Hanko,Sr,D,44,9,8,0,0,0,0,0,14,3,3,0,0,8760815
2025,Binghamton,10,Jojo Provenzano,Jojo Provenzano,Jojo,Provenzano,So,D,10,9,0,0,0,0,1,1,8,0,2,0,0,8771749
2025,Binghamton,21,Colin DeLay,Colin DeLay,Colin,DeLay,Jr,M,21,8,3,2,2,4,21,8,2,4,2,0,0,8764256
